SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
MONTH,Month
DAY_OF_MONTH,Day of Month
DAY_OF_WEEK,Day of Week
OP_CARRIER,"Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code."
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN_CITY_MARKET_ID,"Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
ORIGIN,Origin Airport
ORIGIN_STATE_ABR,"Origin Airport, State Code"
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST_CITY_MARKET_ID,"Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
DEST,Destination Airport
DEST_STATE_ABR,"Destination Airport, State Code"
CRS_DEP_TIME,CRS Departure Time (local time: hhmm)
DEP_TIME,Actual Departure Time (local time: hhmm)
DEP_DELAY_NEW,Difference in minutes between scheduled and actual departure time. Early departures set to 0.
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)"
DEP_DELAY_GROUP,"Departure Delay intervals, every (15 minutes from <-15 to >180)"
CANCELLED,Cancelled Flight Indicator (1=Yes)
CANCELLATION_CODE,Specifies The Reason For Cancellation
CARRIER_DELAY,"Carrier Delay, in Minutes"
WEATHER_DELAY,"Weather Delay, in Minutes"
NAS_DELAY,"National Air System Delay, in Minutes"
SECURITY_DELAY,"Security Delay, in Minutes"
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes"
